Bird Mania Christmas 3D,http://cdn.ghosteshop.com/Nintendo%203DS/USA/B/Bird%20Mania%20Christmas%203D%20%28USA%29%20%28eShop%29.cia
Bomb Monkey,http://cdn.ghosteshop.com/Nintendo%203DS/USA/B/Bomb%20Monkey%20%28USA%29%20%28eShop%29.cia
Cave Story,http://cdn.ghosteshop.com/Nintendo%203DS/EUR/C/Cave%20Story%20%28EUR%29%20%28eShop%29.cia
Cocoto - Alien Brick Breaker,http://cdn.ghosteshop.com/Nintendo%203DS/EUR/C/Cocoto%20-%20Alien%20Brick%20Breaker%20%28EUR%29.cia
Colors! 3D,http://cdn.ghosteshop.com/Nintendo%203DS/USA/C/Colors%21%203D%20%28USA%29%20%28En%2CFr%2CEs%2CPt%29%20%28eShop%29.cia
Crashmo,http://cdn.ghosteshop.com/Nintendo%203DS/USA/C/Crashmo%20%28USA%29%20%28eShop%29.cia
Donkey Kong Country Returns 3D (USA),http://cdn.ghosteshop.com/Nintendo%203DS/USA/D/Donkey%20Kong%20Country%20Returns%203D%20%28USA%29.cia
Donkey Kong Returns 3D (JPN),http://cdn.ghosteshop.com/Nintendo%203DS/JPN/D/Donkey%20Kong%20Returns%203D%20%28JPN%29.cia
Dragon Quest VIII - Journey of the Cursed King,http://cdn.ghosteshop.com/Nintendo%203DS/USA/D/Dragon%20Quest%20VIII%20-%20Journey%20of%20the%20Cursed%20King%20%28USA%29.cia
Driver: Renegade (USA),http://cdn.ghosteshop.com/Nintendo%203DS/USA/D/Driver%20-%20Renegade%20%28USA%29.cia
Driver: Renegade 3D (JPN),http://cdn.ghosteshop.com/Nintendo%203DS/JPN/D/Driver%20-%20Renegade%203D%20%28JPN%29.cia
Edge,http://cdn.ghosteshop.com/Nintendo%203DS/EUR/E/Edge%20%28EUR%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%2CPt%29%20%28eShop%29.cia
Face Racers Photo Finish,http://cdn.ghosteshop.com/Nintendo%203DS/USA/F/Face%20Racers%20Photo%20Finish%20%28USA%29.cia
Farming Simulator 18,http://cdn.ghosteshop.com/Nintendo%203DS/USA/F/Farming%20Simulator%2018%20%28USA%29.cia
